time,open,high,low,close,volume
2024-01-01 00:00:00,1.085,1.08523,1.08479,1.08509,4134
2024-01-01 00:15:00,1.08494,1.08532,1.08493,1.08503,1685
2024-01-01 00:30:00,1.08499,1.08499,1.08487,1.08493,1798
2024-01-01 00:45:00,1.08484,1.08552,1.08472,1.08499,4690
2024-01-01 01:00:00,1.08513,1.08523,1.08496,1.08511,2184
2024-01-01 01:15:00,1.08493,1.08519,1.08479,1.08507,150
2024-01-01 01:30:00,1.08459,1.08475,1.08444,1.08466,338
2024-01-01 01:45:00,1.08477,1.08486,1.08456,1.08473,4024
2024-01-01 02:00:00,1.08442,1.0849,1.08431,1.08477,3873
2024-01-01 02:15:00,1.08446,1.08476,1.08432,1.08465,3491
2024-01-01 02:30:00,1.08473,1.08476,1.08442,1.08461,2684
2024-01-01 02:45:00,1.08464,1.08465,1.08452,1.08464,2996
2024-01-01 03:00:00,1.08496,1.08509,1.08489,1.08505,3173
2024-01-01 03:15:00,1.08512,1.08533,1.08493,1.08506,4975
2024-01-01 03:30:00,1.08519,1.08554,1.08508,1.08536,359
2024-01-01 03:45:00,1.0852,1.08526,1.0849,1.08501,2579
2024-01-01 04:00:00,1.08464,1.08485,1.08444,1.08472,1755
2024-01-01 04:15:00,1.08489,1.08498,1.0847,1.08487,4196
2024-01-01 04:30:00,1.08519,1.08534,1.08489,1.08523,2642
2024-01-01 04:45:00,1.08521,1.08529,1.085,1.0852,4328
2024-01-01 05:00:00,1.08502,1.0852,1.08499,1.08513,4379
2024-01-01 05:15:00,1.0852,1.08546,1.08492,1.08538,813
2024-01-01 05:30:00,1.08493,1.0852,1.08457,1.08477,2659
2024-01-01 05:45:00,1.08489,1.08499,1.08482,1.08495,1742
2024-01-01 06:00:00,1.08488,1.08507,1.08481,1.08496,1063
2024-01-01 06:15:00,1.08529,1.08538,1.0849,1.08519,4684
2024-01-01 06:30:00,1.08529,1.0853,1.08498,1.08505,1259
2024-01-01 06:45:00,1.08531,1.0855,1.08522,1.0854,2650
2024-01-01 07:00:00,1.08528,1.08537,1.08517,1.08524,3956
2024-01-01 07:15:00,1.08556,1.0856,1.08551,1.08557,3310
2024-01-01 07:30:00,1.08524,1.08545,1.085,1.08527,3752
2024-01-01 07:45:00,1.08528,1.0854,1.08518,1.08532,4470
2024-01-01 08:00:00,1.08478,1.08529,1.08476,1.08512,861
2024-01-01 08:15:00,1.08401,1.08454,1.08385,1.08423,3912
2024-01-01 08:30:00,1.08398,1.08405,1.08352,1.08372,2213
2024-01-01 08:45:00,1.08385,1.08393,1.0837,1.08377,2760
2024-01-01 09:00:00,1.08381,1.08393,1.08367,1.08392,3878
2024-01-01 09:15:00,1.08416,1.08429,1.08405,1.08419,4261
2024-01-01 09:30:00,1.08389,1.08409,1.08385,1.08393,681
2024-01-01 09:45:00,1.08395,1.08424,1.08382,1.08407,2096
2024-01-01 10:00:00,1.08379,1.08391,1.08337,1.08347,4941
2024-01-01 10:15:00,1.08377,1.08394,1.08333,1.08345,2034
2024-01-01 10:30:00,1.08358,1.08389,1.08357,1.08369,4086
2024-01-01 10:45:00,1.0835,1.08389,1.08346,1.08375,3747
2024-01-01 11:00:00,1.08394,1.08435,1.08387,1.08401,4985
2024-01-01 11:15:00,1.08411,1.08426,1.08388,1.0841,841
2024-01-01 11:30:00,1.0842,1.08429,1.08398,1.08421,101
2024-01-01 11:45:00,1.08431,1.08462,1.08419,1.0844,4834
2024-01-01 12:00:00,1.08456,1.08459,1.08438,1.08447,2594
2024-01-01 12:15:00,1.08429,1.08472,1.08422,1.08455,831
2024-01-01 12:30:00,1.08391,1.08411,1.08362,1.08401,2509
2024-01-01 12:45:00,1.08398,1.08431,1.08397,1.08419,4687
2024-01-01 13:00:00,1.08414,1.08431,1.08394,1.08418,2027
2024-01-01 13:15:00,1.08391,1.08403,1.08374,1.08394,3426
2024-01-01 13:30:00,1.08465,1.0848,1.08456,1.08467,1641
2024-01-01 13:45:00,1.08442,1.08452,1.08424,1.08434,2463
2024-01-01 14:00:00,1.08427,1.08434,1.08423,1.08434,228
2024-01-01 14:15:00,1.08445,1.08479,1.08423,1.08455,1212
2024-01-01 14:30:00,1.08462,1.08508,1.08448,1.08497,3587
2024-01-01 14:45:00,1.08505,1.08517,1.08467,1.08492,3251
2024-01-01 15:00:00,1.08533,1.08541,1.08505,1.08521,2039
2024-01-01 15:15:00,1.0856,1.08577,1.08542,1.08566,374
2024-01-01 15:30:00,1.08559,1.0858,1.08557,1.08578,4044
2024-01-01 15:45:00,1.08517,1.08528,1.08515,1.08526,2389
2024-01-01 16:00:00,1.08494,1.08504,1.08489,1.08502,3970
2024-01-01 16:15:00,1.08532,1.08548,1.08514,1.08525,4517
2024-01-01 16:30:00,1.08478,1.08506,1.08465,1.08494,188
2024-01-01 16:45:00,1.08495,1.08499,1.08457,1.08481,3548
2024-01-01 17:00:00,1.08503,1.08536,1.08481,1.08483,4995
2024-01-01 17:15:00,1.08496,1.08521,1.08486,1.08491,3976
2024-01-01 17:30:00,1.08511,1.0852,1.08494,1.08501,323
2024-01-01 17:45:00,1.08523,1.08535,1.08494,1.08529,2376
2024-01-01 18:00:00,1.08599,1.0862,1.08597,1.08599,1013
2024-01-01 18:15:00,1.08626,1.08646,1.08599,1.08601,3129
2024-01-01 18:30:00,1.08585,1.08613,1.0858,1.08602,4420
2024-01-01 18:45:00,1.08572,1.08599,1.08565,1.08589,1362
2024-01-01 19:00:00,1.08561,1.08588,1.08548,1.08567,3705
2024-01-01 19:15:00,1.08592,1.08601,1.0856,1.08586,545
2024-01-01 19:30:00,1.0856,1.0858,1.08552,1.08559,3366
2024-01-01 19:45:00,1.08571,1.08574,1.08524,1.08556,2014
2024-01-01 20:00:00,1.08583,1.08599,1.0857,1.08578,3661
2024-01-01 20:15:00,1.08569,1.08594,1.08548,1.08591,4443
2024-01-01 20:30:00,1.08564,1.08568,1.0854,1.08558,3637
2024-01-01 20:45:00,1.08497,1.08511,1.08491,1.08493,905
2024-01-01 21:00:00,1.08479,1.08499,1.08449,1.08471,2080
2024-01-01 21:15:00,1.08458,1.08478,1.08449,1.08453,1573
2024-01-01 21:30:00,1.08476,1.08478,1.08461,1.08466,3468
2024-01-01 21:45:00,1.08503,1.08511,1.08493,1.08507,2420
2024-01-01 22:00:00,1.08505,1.08509,1.08499,1.08502,4967
2024-01-01 22:15:00,1.08508,1.08532,1.08479,1.085,1082
2024-01-01 22:30:00,1.08511,1.08537,1.08493,1.08527,4737
2024-01-01 22:45:00,1.0856,1.08569,1.08542,1.0855,2513
2024-01-01 23:00:00,1.08579,1.08586,1.0853,1.08552,2364
2024-01-01 23:15:00,1.08565,1.08607,1.08553,1.08585,2208
2024-01-01 23:30:00,1.08538,1.08559,1.08535,1.08554,2825
2024-01-01 23:45:00,1.0857,1.08588,1.08566,1.08587,668
2024-01-02 00:00:00,1.08585,1.08587,1.08561,1.08568,4130
2024-01-02 00:15:00,1.08624,1.08649,1.08605,1.08637,970
2024-01-02 00:30:00,1.08633,1.08653,1.08628,1.0864,4780
2024-01-02 00:45:00,1.08688,1.08714,1.08666,1.08683,107
2024-01-02 01:00:00,1.08676,1.08697,1.08674,1.08688,3305
2024-01-02 01:15:00,1.08738,1.08746,1.08696,1.08712,3672
2024-01-02 01:30:00,1.08722,1.08735,1.0871,1.08713,1950
2024-01-02 01:45:00,1.08707,1.08736,1.087,1.08735,4746
2024-01-02 02:00:00,1.08666,1.08676,1.0864,1.08646,552
2024-01-02 02:15:00,1.08679,1.08707,1.08639,1.08655,2885
2024-01-02 02:30:00,1.08721,1.08733,1.08719,1.08724,1546
2024-01-02 02:45:00,1.08725,1.08738,1.08708,1.08715,3295
2024-01-02 03:00:00,1.08753,1.08784,1.08749,1.08771,3687
2024-01-02 03:15:00,1.08692,1.087,1.0868,1.08688,4957
2024-01-02 03:30:00,1.08725,1.0874,1.08705,1.08711,4193
2024-01-02 03:45:00,1.08713,1.08719,1.08661,1.08708,403
2024-01-02 04:00:00,1.08721,1.08732,1.08703,1.08705,1834
2024-01-02 04:15:00,1.08681,1.08717,1.08659,1.08697,4495
2024-01-02 04:30:00,1.08695,1.08715,1.08691,1.08699,1259
2024-01-02 04:45:00,1.08742,1.08742,1.08724,1.08741,2088
2024-01-02 05:00:00,1.08704,1.08717,1.08701,1.0871,2617
2024-01-02 05:15:00,1.08701,1.08707,1.08679,1.087,623
2024-01-02 05:30:00,1.08727,1.08748,1.087,1.08741,1906
2024-01-02 05:45:00,1.08726,1.08736,1.08711,1.08732,3393
2024-01-02 06:00:00,1.08731,1.08768,1.08696,1.08703,1846
2024-01-02 06:15:00,1.08715,1.08739,1.08712,1.08719,1257
2024-01-02 06:30:00,1.08685,1.08694,1.08675,1.08681,2095
2024-01-02 06:45:00,1.08692,1.08694,1.08666,1.0869,3181
2024-01-02 07:00:00,1.08662,1.08665,1.0865,1.08651,1569
2024-01-02 07:15:00,1.08678,1.08702,1.08668,1.08692,3999
2024-01-02 07:30:00,1.08673,1.08685,1.08662,1.08675,3475
2024-01-02 07:45:00,1.08737,1.08756,1.0873,1.08747,4195
2024-01-02 08:00:00,1.08742,1.08756,1.08736,1.08751,3530
2024-01-02 08:15:00,1.08788,1.08803,1.08774,1.08803,883
2024-01-02 08:30:00,1.08765,1.08785,1.08724,1.08742,3902
2024-01-02 08:45:00,1.08752,1.08777,1.0875,1.08755,1322
2024-01-02 09:00:00,1.08769,1.08805,1.08743,1.08752,453
2024-01-02 09:15:00,1.08816,1.08829,1.08813,1.08824,3812
2024-01-02 09:30:00,1.08772,1.08787,1.08764,1.0878,338
2024-01-02 09:45:00,1.08791,1.08792,1.0877,1.08789,4955
2024-01-02 10:00:00,1.08802,1.0881,1.08802,1.08803,1984
2024-01-02 10:15:00,1.08837,1.08873,1.08817,1.0886,1738
2024-01-02 10:30:00,1.08889,1.08896,1.08857,1.08874,3670
2024-01-02 10:45:00,1.08883,1.08922,1.08869,1.08895,1217
2024-01-02 11:00:00,1.08868,1.08871,1.08851,1.08859,2851
2024-01-02 11:15:00,1.08834,1.08855,1.08826,1.08839,3913
2024-01-02 11:30:00,1.08836,1.08838,1.0881,1.08828,1384
2024-01-02 11:45:00,1.08845,1.08866,1.08824,1.08831,4628
2024-01-02 12:00:00,1.08885,1.08896,1.08874,1.08891,1873
2024-01-02 12:15:00,1.08861,1.08877,1.0885,1.08854,2120
2024-01-02 12:30:00,1.08896,1.08912,1.08874,1.0888,1320
2024-01-02 12:45:00,1.08855,1.08872,1.08847,1.08851,3955
2024-01-02 13:00:00,1.08822,1.0884,1.08806,1.0882,902
2024-01-02 13:15:00,1.08833,1.08836,1.08819,1.08822,3431
2024-01-02 13:30:00,1.08853,1.08861,1.08847,1.08858,843
2024-01-02 13:45:00,1.08911,1.08914,1.08902,1.08912,4772
2024-01-02 14:00:00,1.08905,1.08908,1.08871,1.08895,3420
2024-01-02 14:15:00,1.08867,1.08898,1.0885,1.0887,111
2024-01-02 14:30:00,1.08865,1.08883,1.08854,1.08878,367
2024-01-02 14:45:00,1.08886,1.0891,1.08879,1.08886,4812
2024-01-02 15:00:00,1.08893,1.08936,1.08866,1.08911,549
2024-01-02 15:15:00,1.08895,1.08898,1.0886,1.08863,3237
2024-01-02 15:30:00,1.08921,1.08937,1.08904,1.0891,4677
2024-01-02 15:45:00,1.08926,1.08945,1.08917,1.08918,2843
2024-01-02 16:00:00,1.08937,1.0895,1.08902,1.08943,4852
2024-01-02 16:15:00,1.08984,1.09009,1.08984,1.08992,2725
2024-01-02 16:30:00,1.08982,1.09004,1.08977,1.08994,619
2024-01-02 16:45:00,1.09,1.09012,1.08972,1.09,3951
2024-01-02 17:00:00,1.09072,1.09094,1.09056,1.09069,3115
2024-01-02 17:15:00,1.09078,1.09121,1.09065,1.09087,637
2024-01-02 17:30:00,1.09049,1.09107,1.09036,1.09079,1564
2024-01-02 17:45:00,1.09079,1.09116,1.09059,1.09068,1312
2024-01-02 18:00:00,1.09124,1.09124,1.09077,1.09098,2501
2024-01-02 18:15:00,1.0912,1.09132,1.09094,1.09109,3541
2024-01-02 18:30:00,1.09133,1.0914,1.09123,1.09124,2003
2024-01-02 18:45:00,1.09177,1.09195,1.09167,1.0918,2773
2024-01-02 19:00:00,1.0917,1.09171,1.09125,1.09143,3851
2024-01-02 19:15:00,1.09104,1.09112,1.09102,1.09105,2229
2024-01-02 19:30:00,1.09109,1.09131,1.09103,1.09117,1315
